"year","geography","age_group","sex","population"
2016,"England and Wales","70-74","female",1510518
2016,"England and Wales","70-74","male",1451282
2016,"England and Wales","70-74","people",2961800
2016,"England and Wales","75-79","female",1208415
2016,"England and Wales","75-79","male",1161025
2016,"England and Wales","75-79","people",2369440
2016,"England and Wales","80-84","female",906311
2016,"England and Wales","80-84","male",870769
2016,"England and Wales","80-84","people",1777080
2016,"England and Wales","85-89","female",453156
2016,"England and Wales","85-89","male",435384
2016,"England and Wales","85-89","people",888540
2016,"England and Wales","90+","female",302103
2016,"England and Wales","90+","male",290257
2016,"England and Wales","90+","people",592360
2016,"England and Wales","All ages","female",28850896
2016,"England and Wales","All ages","male",27719484
2016,"England and Wales","All ages","people",56570380
2017,"England and Wales","0-29","female",10312445
2017,"England and Wales","0-29","male",9908035
2017,"England and Wales","0-29","people",20220480
2017,"England and Wales","30-44","female",5459529
2017,"England and Wales","30-44","male",5245431
2017,"England and Wales","30-44","people",10704960
2017,"England and Wales","45-49","female",1819843
2017,"England and Wales","45-49","male",1748477
2017,"England and Wales","45-49","people",3568320
2017,"England and Wales","50-54","female",1819843
2017,"England and Wales","50-54","male",1748477
2017,"England and Wales","50-54","people",3568320
2017,"England and Wales","55-59","female",1819843
2017,"England and Wales","55-59","male",1748477
2017,"England and Wales","55-59","people",3568320
2017,"England and Wales","60-64","female",1819843
2017,"England and Wales","60-64","male",1748477
2017,"England and Wales","60-64","people",3568320
2017,"England and Wales","65-69","female",1516536
2017,"England and Wales","65-69","male",1457064
2017,"England and Wales","65-69","people",2973600
2017,"England and Wales","70-74","female",1516536
2017,"England and Wales","70-74","male",1457064
2017,"England and Wales","70-74","people",2973600
2017,"England and Wales","75-79","female",1213228
2017,"England and Wales","75-79","male",1165652
2017,"England and Wales","75-79","people",2378880
2017,"England and Wales","80-84","female",909922
2017,"England and Wales","80-84","male",874238
2017,"England and Wales","80-84","people",1784160
2017,"England and Wales","85-89","female",454961
2017,"England and Wales","85-89","male",437119
2017,"England and Wales","85-89","people",892080
2017,"England and Wales","90+","female",303307
2017,"England and Wales","90+","male",291413
2017,"England and Wales","90+","people",594720
2017,"England and Wales","All ages","female",28965836
2017,"England and Wales","All ages","male",27829924
2017,"England and Wales","All ages","people",56795760
2018,"England and Wales","0-29","female",10353367
2018,"England and Wales","0-29","male",9947353
2018,"England and Wales","0-29","people",20300720
2018,"England and Wales","30-44","female",5481195
2018,"England and Wales","30-44","male",5266245
2018,"England and Wales","30-44","people",10747440
2018,"England and Wales","45-49","female",1827065
2018,"England and Wales","45-49","male",1755415
2018,"England and Wales","45-49","people",3582480
2018,"England and Wales","50-54","female",1827065
2018,"England and Wales","50-54","male",1755415
2018,"England and Wales","50-54","people",3582480
2018,"England and Wales","55-59","female",1827065
2018,"England and Wales","55-59","male",1755415
2018,"England and Wales","55-59","people",3582480
2018,"England and Wales","60-64","female",1827065
2018,"England and Wales","60-64","male",1755415
2018,"England and Wales","60-64","people",3582480
2018,"England and Wales","65-69","female",1522554
2018,"England and Wales","65-69","male",1462846
2018,"England and Wales","65-69","people",2985400
2018,"England and Wales","70-74","female",1522554
2018,"England and Wales","70-74","male",1462846
2018,"England and Wales","70-74","people",2985400
2018,"England and Wales","75-79","female",1218043
2018,"England and Wales","75-79","male",1170277
2018,"England and Wales","75-79","people",2388320
2018,"England and Wales","80-84","female",913533
2018,"England and Wales","80-84","male",877707
2018,"England and Wales","80-84","people",1791240
2018,"England and Wales","85-89","female",456766
2018,"England and Wales","85-89","male",438854
2018,"England and Wales","85-89","people",895620
2018,"England and Wales","90+","female",304511
2018,"England and Wales","90+","male",292569
2018,"England and Wales","90+","people",597080
2018,"England and Wales","All ages","female",29080783
2018,"England and Wales","All ages","male",27940357
2018,"England and Wales","All ages","people",57021140
2019,"England and Wales","0-29","female",10394289
2019,"England and Wales","0-29","male",9986671
2019,"England and Wales","0-29","people",20380960
2019,"England and Wales","30-44","female",5502859
2019,"England and Wales","30-44","male",5287061
2019,"England and Wales","30-44","people",10789920
2019,"England and Wales","45-49","female",1834286
2019,"England and Wales","45-49","male",1762354
2019,"England and Wales","45-49","people",3596640
2019,"England and Wales","50-54","female",1834286
2019,"England and Wales","50-54","male",1762354
2019,"England and Wales","50-54","people",3596640
2019,"England and Wales","55-59","female",1834286
2019,"England and Wales","55-59","male",1762354
2019,"England and Wales","55-59","people",3596640
2019,"England and Wales","60-64","female",1834286
2019,"England and Wales","60-64","male",1762354
2019,"England and Wales","60-64","people",3596640
2019,"England and Wales","65-69","female",1528572
2019,"England and Wales","65-69","male",1468628
2019,"England and Wales","65-69","people",2997200
2019,"England and Wales","70-74","female",1528572
2019,"England and Wales","70-74","male",1468628
2019,"England and Wales","70-74","people",2997200
2019,"England and Wales","75-79","female",1222858
2019,"England and Wales","75-79","male",1174902
2019,"England and Wales","75-79","people",2397760
2019,"England and Wales","80-84","female",917143
2019,"England and Wales","80-84","male",881177
2019,"England and Wales","80-84","people",1798320
2019,"England and Wales","85-89","female",458572
2019,"England and Wales","85-89","male",440588
2019,"England and Wales","85-89","people",899160
2019,"England and Wales","90+","female",305715
2019,"England and Wales","90+","male",293725
2019,"England and Wales","90+","people",599440
2019,"England and Wales","All ages","female",29195724
2019,"England and Wales","All ages","male",28050796
2019,"England and Wales","All ages","people",57246520
2020,"England and Wales","0-29","female",10435212
2020,"England and Wales","0-29","male",10025988
2020,"England and Wales","0-29","people",20461200
2020,"England and Wales","30-44","female",5524524
2020,"England and Wales","30-44","male",5307876
2020,"England and Wales","30-44","people",10832400
2020,"England and Wales","45-49","female",1841508
2020,"England and Wales","45-49","male",1769292
2020,"England and Wales","45-49","people",3610800
2020,"England and Wales","50-54","female",1841508
2020,"England and Wales","50-54","male",1769292
2020,"England and Wales","50-54","people",3610800
2020,"England and Wales","55-59","female",1841508
2020,"England and Wales","55-59","male",1769292
2020,"England and Wales","55-59","people",3610800
2020,"England and Wales","60-64","female",1841508
2020,"England and Wales","60-64","male",1769292
2020,"England and Wales","60-64","people",3610800
2020,"England and Wales","65-69","female",1534590
2020,"England and Wales","65-69","male",1474410
2020,"England and Wales","65-69","people",3009000
2020,"England and Wales","70-74","female",1534590
2020,"England and Wales","70-74","male",1474410
2020,"England and Wales","70-74","people",3009000
2020,"England and Wales","75-79","female",1227672
2020,"England and Wales","75-79","male",1179528
2020,"England and Wales","75-79","people",2407200
2020,"England and Wales","80-84","female",920754
2020,"England and Wales","80-84","male",884646
2020,"England and Wales","80-84","people",1805400
2020,"England and Wales","85-89","female",460377
2020,"England and Wales","85-89","male",442323
2020,"England and Wales","85-89","people",902700
2020,"England and Wales","90+","female",306918
2020,"England and Wales","90+","male",294882
2020,"England and Wales","90+","people",601800
2020,"England and Wales","All ages","female",29310669
2020,"England and Wales","All ages","male",28161231
2020,"England and Wales","All ages","people",57471900
2021,"England and Wales","0-29","female",10476135
2021,"England and Wales","0-29","male",10065305
2021,"England and Wales","0-29","people",20541440
2021,"England and Wales","30-44","female",5546188
2021,"England and Wales","30-44","male",5328692
2021,"England and Wales","30-44","people",10874880
2021,"England and Wales","45-49","female",1848729
2021,"England and Wales","45-49","male",1776231
2021,"England and Wales","45-49","people",3624960
2021,"England and Wales","50-54","female",1848729
2021,"England and Wales","50-54","male",1776231
2021,"England and Wales","50-54","people",3624960
2021,"England and Wales","55-59","female",1848729
2021,"England and Wales","55-59","male",1776231
2021,"England and Wales","55-59","people",3624960
2021,"England and Wales","60-64","female",1848729
2021,"England and Wales","60-64","male",1776231
2021,"England and Wales","60-64","people",3624960
2021,"England and Wales","65-69","female",1540608
2021,"England and Wales","65-69","male",1480192
2021,"England and Wales","65-69","people",3020800
2021,"England and Wales","70-74","female",1540608
2021,"England and Wales","70-74","male",1480192
2021,"England and Wales","70-74","people",3020800
2021,"England and Wales","75-79","female",1232486
2021,"England and Wales","75-79","male",1184154
2021,"England and Wales","75-79","people",2416640
2021,"England and Wales","80-84","female",924365
2021,"England and Wales","80-84","male",888115
2021,"England and Wales","80-84","people",1812480
2021,"England and Wales","85-89","female",462182
2021,"England and Wales","85-89","male",444058
2021,"England and Wales","85-89","people",906240
2021,"England and Wales","90+","female",308122
2021,"England and Wales","90+","male",296038
2021,"England and Wales","90+","people",604160
2021,"England and Wales","All ages","female",29425610
2021,"England and Wales","All ages","male",28271670
2021,"England and Wales","All ages","people",57697280
2022,"England and Wales","0-29","female",10517057
2022,"England and Wales","0-29","male",10104623
2022,"England and Wales","0-29","people",20621680
2022,"England and Wales","30-44","female",5567854
2022,"England and Wales","30-44","male",5349506
2022,"England and Wales","30-44","people",10917360
2022,"England and Wales","45-49","female",1855952
2022,"England and Wales","45-49","male",1783168
2022,"England and Wales","45-49","people",3639120
2022,"England and Wales","50-54","female",1855952
2022,"England and Wales","50-54","male",1783168
2022,"England and Wales","50-54","people",3639120
2022,"England and Wales","55-59","female",1855952
2022,"England and Wales","55-59","male",1783168
2022,"England and Wales","55-59","people",3639120
2022,"England and Wales","60-64","female",1855952
2022,"England and Wales","60-64","male",1783168
2022,"England and Wales","60-64","people",3639120
2022,"England and Wales","65-69","female",1546626
2022,"England and Wales","65-69","male",1485974
2022,"England and Wales","65-69","people",3032600
2022,"England and Wales","70-74","female",1546626
2022,"England and Wales","70-74","male",1485974
2022,"England and Wales","70-74","people",3032600
2022,"England and Wales","75-79","female",1237301
2022,"England and Wales","75-79","male",1188779
2022,"England and Wales","75-79","people",2426080
2022,"England and Wales","80-84","female",927976
2022,"England and Wales","80-84","male",891584
2022,"England and Wales","80-84","people",1819560
2022,"England and Wales","85-89","female",463987
2022,"England and Wales","85-89","male",445793
2022,"England and Wales","85-89","people",909780
2022,"England and Wales","90+","female",309325
2022,"England and Wales","90+","male",297195
2022,"England and Wales","90+","people",606520
2022,"England and Wales","All ages","female",29540560
2022,"England and Wales","All ages","male",28382100
2022,"England and Wales","All ages","people",57922660
2023,"England and Wales","0-29","female",10557979
2023,"England and Wales","0-29","male",10143941
2023,"England and Wales","0-29","people",20701920
2023,"England and Wales","30-44","female",5589518
2023,"England and Wales","30-44","male",5370322
2023,"England and Wales","30-44","people",10959840
2023,"England and Wales","45-49","female",1863173
2023,"England and Wales","45-49","male",1790107
2023,"England and Wales","45-49","people",3653280
2023,"England and Wales","50-54","female",1863173
2023,"England and Wales","50-54","male",1790107
2023,"England and Wales","50-54","people",3653280
2023,"England and Wales","55-59","female",1863173
2023,"England and Wales","55-59","male",1790107
2023,"England and Wales","55-59","people",3653280
2023,"England and Wales","60-64","female",1863173
2023,"England and Wales","60-64","male",1790107
2023,"England and Wales","60-64","people",3653280
2023,"England and Wales","65-69","female",1552644
2023,"England and Wales","65-69","male",1491756
2023,"England and Wales","65-69","people",3044400
2023,"England and Wales","70-74","female",1552644
2023,"England and Wales","70-74","male",1491756
2023,"England and Wales","70-74","people",3044400
2023,"England and Wales","75-79","female",1242115
2023,"England and Wales","75-79","male",1193405
2023,"England and Wales","75-79","people",2435520
2023,"England and Wales","80-84","female",931586
2023,"England and Wales","80-84","male",895054
2023,"England and Wales","80-84","people",1826640
2023,"England and Wales","85-89","female",465794
2023,"England and Wales","85-89","male",447526
2023,"England and Wales","85-89","people",913320
2023,"England and Wales","90+","female",310528
2023,"England and Wales","90+","male",298352
2023,"England and Wales","90+","people",608880
2023,"England and Wales","All ages","female",29655500
2023,"England and Wales","All ages","male",28492540
2023,"England and Wales","All ages","people",58148040
2024,"England and Wales","0-29","female",10598902
2024,"England and Wales","0-29","male",10183258
2024,"England and Wales","0-29","people",20782160
2024,"England and Wales","30-44","female",5611183
2024,"England and Wales","30-44","male",5391137
2024,"England and Wales","30-44","people",11002320
2024,"England and Wales","45-49","female",1870395
2024,"England and Wales","45-49","male",1797045
2024,"England and Wales","45-49","people",3667440
2024,"England and Wales","50-54","female",1870395
2024,"England and Wales","50-54","male",1797045
2024,"England and Wales","50-54","people",3667440
2024,"England and Wales","55-59","female",1870395
2024,"England and Wales","55-59","male",1797045
2024,"England and Wales","55-59","people",3667440
2024,"England and Wales","60-64","female",1870395
2024,"England and Wales","60-64","male",1797045
2024,"England and Wales","60-64","people",3667440
2024,"England and Wales","65-69","female",1558662
2024,"England and Wales","65-69","male",1497538
2024,"England and Wales","65-69","people",3056200
2024,"England and Wales","70-74","female",1558662
2024,"England and Wales","70-74","male",1497538
2024,"England and Wales","70-74","people",3056200
2024,"England and Wales","75-79","female",1246929
2024,"England and Wales","75-79","male",1198031
2024,"England and Wales","75-79","people",2444960
2024,"England and Wales","80-84","female",935197
2024,"England and Wales","80-84","male",898523
2024,"England and Wales","80-84","people",1833720
2024,"England and Wales","85-89","female",467599
2024,"England and Wales","85-89","male",449261
2024,"England and Wales","85-89","people",916860
2024,"England and Wales","90+","female",311733
2024,"England and Wales","90+","male",299507
2024,"England and Wales","90+","people",611240
2024,"England and Wales","All ages","female",29770447
2024,"England and Wales","All ages","male",28602973
2024,"England and Wales","All ages","people",58373420
